ID;time_start;time_end;email;time;Jêzyk;oswiadczenie;v1a;v1b;v1c;v2a;v2b;v2c;v3a;v3b;v3c;v4a;v4b;v4c;v5a;v5b;v5c;v6a;v6b;v6c;v7a;v7b;v7c;v8a;v8b;v8c;v9a;v9b;v9c;v10a;v10b;v10c;v11a;v11b;v11c;v12a;v12b;v12c;v13a;v13b;v13c;v14a;v14b;v14c;v15a;v15b;v15c;v16a;v16b;v16c;v17a;v17b;v17c;v18a;v18b;v18c;v19a;v19b;v19c;v20a;v20b;v20c;v21a;v21b;v21c;v22a;v22b;v22c;v23a;v23b;v23c;v24a;v24b;v24c;v25a;v25b;v25c;school;discipline;year;midterm;master;gender;age
1;20.10.2022;20.10.2022;anonymous;11:07;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;tak;tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;nie;nie;nie;tak;tak;tak;tak;tak;zdecydo-wanie tak;raczej nie;nie mam zdania;tak;nie;nie;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;nie;nie;raczej nie;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;tak;tak;raczej nie;raczej tak;raczej nie;tak;tak;tak;zdecydo-wanie nie;zdecydo-wanie nie;zdecydo-wanie tak;zdecydo-wanie nie;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;tak;tak;tak;tak;tak;tak;raczej tak;tak;tak;raczej tak;tak;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;sztuki plastyczne i konserwacja dzie³ sztuki;3;Tak;Konserwacja i restauracja dzie³ sztuki ;kobieta;30
2;20.10.2022;20.10.2022;anonymous;06:45;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;tak;tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;raczej tak;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;raczej nie;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;tak;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;raczej nie;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;literaturoznawstwo;1;Nie;filologia polska;mê¿czyzna;24
3;20.10.2022;20.10.2022;anonymous;22:23;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;raczej tak;raczej tak;raczej tak;raczej nie;raczej nie;tak;raczej tak;tak;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;nie;raczej nie;raczej nie;raczej nie;raczej nie;raczej tak;raczej tak;raczej tak;tak;raczej tak;raczej tak;raczej nie;raczej nie;tak;tak;zdecydo-wanie tak;tak;tak;raczej nie;raczej nie;nie;nie;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;tak;tak;tak;tak;tak;tak;zdecydo-wanie tak;tak;raczej tak;raczej tak;raczej tak;tak;raczej nie;raczej tak;raczej nie;raczej tak;raczej tak;raczej nie;raczej nie;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej nie;raczej tak;raczej tak;raczej tak;raczej nie;raczej tak;tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki socjologiczne;4;Tak;socjologia;mê¿czyzna;35
4;21.10.2022;21.10.2022;anonymous;07:07;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;nie;nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;nie mam zdania;nie;nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;nie;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;nie;nie;zdecydo-wanie tak;raczej tak;raczej nie;raczej tak;tak;tak;tak;raczej tak;raczej tak;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki fizyczne;3;Tak;fizyka;mê¿czyzna;26
5;24.10.2022;24.10.2022;anonymous;12:04;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;raczej tak;tak;tak;tak;tak;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;nie mam zdania;nie mam zdania;raczej tak;raczej tak;tak;tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;nie mam zdania;nie mam zdania;raczej tak;raczej tak;raczej tak;raczej tak;tak;tak;tak;raczej tak;tak;tak;tak;tak;tak;raczej tak;raczej nie;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;raczej nie;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;nie mam zdania;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki medyczne;4;Tak;optometria;mê¿czyzna;27
6;24.10.2022;24.10.2022;anonymous;13:36;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej nie;raczej nie;raczej tak;tak;tak;zdecydo-wanie tak;raczej nie;zdecydo-wanie nie;zdecydo-wanie nie;zdecydo-wanie tak;raczej tak;tak;tak;tak;raczej tak;raczej tak;raczej tak;nie mam zdania;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;tak;zdecydo-wanie tak;raczej nie;raczej nie;raczej tak;raczej tak;tak;zdecydo-wanie tak;tak;tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;tak;raczej nie;raczej nie;raczej tak;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;raczej nie;raczej tak;tak;tak;tak;raczej tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej nie;raczej tak;raczej tak;raczej tak;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;nie mam zdania;nie mam zdania;nie mam zdania;Uniwersytet Miko³aja Kopernika w Toruniu;nauki biologiczne;3;Tak;Diagnostyka molekularna;mê¿czyzna;29
7;24.10.2022;24.10.2022;anonymous;11:54;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;raczej tak;raczej tak;raczej tak;raczej nie;raczej tak;raczej nie;nie mam zdania;nie mam zdania;raczej nie;raczej nie;raczej tak;raczej nie;raczej tak;raczej nie;nie;raczej tak;nie mam zdania;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;nie mam zdania;zdecydo-wanie tak;raczej nie;raczej nie;nie;tak;tak;raczej nie;tak;tak;tak;tak;tak;nie mam zdania;raczej tak;tak;tak;nie mam zdania;raczej tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;raczej tak;nie;nie;nie;tak;tak;tak;tak;nie;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;nie;raczej nie;raczej tak;nie mam zdania;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej nie;Uniwersytet Miko³aja Kopernika w Toruniu;nauki prawne;3;Tak;nauki prawne;mê¿czyzna;26
8;24.10.2022;24.10.2022;anonymous;28:23;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;nie;tak;tak;raczej tak;nie;zdecydo-wanie tak;nie;zdecydo-wanie nie;nie mam zdania;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;nie;nie mam zdania;raczej tak;tak;zdecydo-wanie tak;raczej tak;raczej tak;tak;raczej tak;raczej tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;nie mam zdania;nie mam zdania;nie mam zdania;nie;tak;raczej tak;tak;raczej nie;nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;tak;raczej nie;nie;nie;nie;nie;nie;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie nie;nie;nie;nie mam zdania;zdecydo-wanie tak;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;nie mam zdania;tak;raczej tak;raczej tak;tak;tak;nie mam zdania;raczej tak;Uniwersytet Miko³aja Kopernika w Toruniu;ekonomia i finanse;1;Nie;matematyka;mê¿czyzna;29
9;24.10.2022;24.10.2022;anonymous;08:54;English (United Kingdom)?;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;raczej tak;tak;tak;tak;tak;tak;nie mam zdania;raczej tak;nie;nie;nie mam zdania;tak;raczej tak;raczej nie;nie mam zdania;raczej tak;raczej tak;raczej tak;raczej tak;tak;raczej tak;zdecydo-wanie tak;tak;raczej tak;raczej tak;raczej nie;nie mam zdania;nie mam zdania;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;tak;tak;raczej nie;raczej tak;tak;tak;nie;nie;raczej tak;tak;tak;zdecydo-wanie tak;raczej tak;raczej tak;tak;tak;raczej tak;raczej nie;tak;tak;tak;tak;tak;tak;raczej nie;raczej tak;raczej nie;tak;tak;tak;raczej nie;raczej nie;raczej tak;tak;tak;raczej tak;tak;tak;tak;tak;zdecydo-wanie tak;tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki o bezpieczeñstwie;4;Tak;Bezpieczeñstwo wewnêtrzne;kobieta;28
10;24.10.2022;24.10.2022;anonymous;07:26;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;nie;zdecydo-wanie nie;zdecydo-wanie nie;tak;tak;tak;zdecydo-wanie nie;zdecydo-wanie nie;zdecydo-wanie nie;zdecydo-wanie nie;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie nie;zdecydo-wanie nie;zdecydo-wanie nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie nie;zdecydo-wanie nie;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie nie;zdecydo-wanie nie;zdecydo-wanie nie;Uniwersytet Warmiñsko-Mazurski w Olsztynie;nauki medyczne;3;Tak;Biotechnologia ;mê¿czyzna;27
